"","Bat1","Runs","BF","SR","4s","6s","Opposition","Ground","Start Date","Match_ID","Batsman","Player_ID"
"5052","DNB","-","-","-","-","-","v Pakistan","Napier","3 Feb 2015","ODI # 3598","Tim Southee",232364
"5053","DNB","-","-","-","-","-","v Sri Lanka","Christchurch","14 Feb 2015","ODI # 3599","Tim Southee",232364
"5054","DNB","-","-","-","-","-","v Scotland","Dunedin","17 Feb 2015","ODI # 3604","Tim Southee",232364
"5055","DNB","-","-","-","-","-","v England","Wellington","20 Feb 2015","ODI # 3607","Tim Southee",232364
"5056","0","0","1","0.00","0","0","v Australia","Auckland","28 Feb 2015","ODI # 3617","Tim Southee",232364
"5057","DNB","-","-","-","-","-","v Afghanistan","Napier","8 Mar 2015","ODI # 3628","Tim Southee",232364
"5058","12*","12","6","200.00","1","1","v Bangladesh","Hamilton","13 Mar 2015","ODI # 3634","Tim Southee",232364
"5059","DNB","-","-","-","-","-","v West Indies","Wellington","21 Mar 2015","ODI # 3643","Tim Southee",232364
"5060","DNB","-","-","-","-","-","v South Africa","Auckland","24 Mar 2015","ODI # 3644","Tim Southee",232364
"5061","11","11","11","100.00","0","1","v Australia","Melbourne","29 Mar 2015","ODI # 3646","Tim Southee",232364
"5062","DNB","-","-","-","-","-","v England","The Oval","12 Jun 2015","ODI # 3655","Tim Southee",232364
"5063","5*","5","3","166.66","1","0","v England","Southampton","14 Jun 2015","ODI # 3656","Tim Southee",232364
"5064","1","1","3","33.33","0","0","v England","Nottingham","17 Jun 2015","ODI # 3657","Tim Southee",232364
"5065","18","18","13","138.46","2","0","v England","Chester-le-Street","20 Jun 2015","ODI # 3659","Tim Southee",232364
"5066","18*","18","4","450.00","1","2","v Sri Lanka","Nelson","31 Dec 2015","ODI # 3717","Tim Southee",232364
"5067","55","55","45","122.22","6","3","v India","Dharamsala","16 Oct 2016","ODI # 3796","Tim Southee",232364
"5068","0","0","2","0.00","0","0","v India","Delhi","20 Oct 2016","ODI # 3797","Tim Southee",232364
"5069","13","13","12","108.33","2","0","v India","Mohali","23 Oct 2016","ODI # 3798","Tim Southee",232364
"5070","9*","9","5","180.00","1","0","v India","Ranchi","26 Oct 2016","ODI # 3799","Tim Southee",232364
"5071","0","0","4","0.00","0","0","v India","Visakhapatnam","29 Oct 2016","ODI # 3800","Tim Southee",232364
"5072","2","2","4","50.00","0","0","v Australia","Canberra","6 Dec 2016","ODI # 3812","Tim Southee",232364
"5073","4","4","14","28.57","0","0","v Australia","Melbourne","9 Dec 2016","ODI # 3813","Tim Southee",232364
"5074","7*","7","5","140.00","1","0","v Bangladesh","Christchurch","26 Dec 2016","ODI # 3814","Tim Southee",232364
"5075","3","3","7","42.85","0","0","v Bangladesh","Nelson","29 Dec 2016","ODI # 3815","Tim Southee",232364
"5076","DNB","-","-","-","-","-","v Bangladesh","Nelson","31 Dec 2016","ODI # 3816","Tim Southee",232364
"5077","0","0","2","0.00","0","0","v Australia","Auckland","30 Jan 2017","ODI # 3829","Tim Southee",232364
"5078","10","10","8","125.00","0","1","v Australia","Hamilton","5 Feb 2017","ODI # 3832","Tim Southee",232364
"5079","24*","24","13","184.61","3","1","v South Africa","Hamilton","19 Feb 2017","ODI # 3836","Tim Southee",232364
"5080","DNB","-","-","-","-","-","v South Africa","Christchurch","22 Feb 2017","ODI # 3839","Tim Southee",232364
"5081","5","5","6","83.33","1","0","v South Africa","Wellington","25 Feb 2017","ODI # 3841","Tim Southee",232364
"5082","DNB","-","-","-","-","-","v South Africa","Hamilton","1 Mar 2017","ODI # 3843","Tim Southee",232364
"5083","6","6","7","85.71","0","1","v South Africa","Auckland","4 Mar 2017","ODI # 3846","Tim Southee",232364
"5084","0*","0","0","-","0","0","v Australia","Birmingham","2 Jun 2017","ODI # 3876","Tim Southee",232364
"5085","2","2","6","33.33","0","0","v England","Cardiff","6 Jun 2017","ODI # 3880","Tim Southee",232364
"5086","10*","10","5","200.00","2","0","v Bangladesh","Cardiff","9 Jun 2017","ODI # 3883","Tim Southee",232364
"5087","DNB","-","-","-","-","-","v India","Mumbai","22 Oct 2017","ODI # 3928","Tim Southee",232364
"5088","25*","25","22","113.63","1","1","v India","Pune","25 Oct 2017","ODI # 3931","Tim Southee",232364
"5089","4*","4","1","400.00","1","0","v India","Kanpur","29 Oct 2017","ODI # 3932","Tim Southee",232364
"5090","DNB","-","-","-","-","-","v West Indies","Whangarei","20 Dec 2017","ODI # 3943","Tim Southee",232364
"5091","12*","12","7","171.42","2","0","v Pakistan","Wellington","6 Jan 2018","ODI # 3946","Tim Southee",232364
"5092","DNB","-","-","-","-","-","v Pakistan","Nelson","9 Jan 2018","ODI # 3947","Tim Southee",232364
"5093","6","6","5","120.00","1","0","v Pakistan","Dunedin","13 Jan 2018","ODI # 3949","Tim Southee",232364
"5094","DNB","-","-","-","-","-","v Pakistan","Hamilton","16 Jan 2018","ODI # 3953","Tim Southee",232364
"5095","14*","14","11","127.27","1","0","v Pakistan","Wellington","19 Jan 2018","ODI # 3957","Tim Southee",232364
"5096","8*","8","7","114.28","1","0","v England","Hamilton","25 Feb 2018","ODI # 3980","Tim Southee",232364
"5097","6","6","3","200.00","1","0","v England","Mount Maunganui","28 Feb 2018","ODI # 3981","Tim Southee",232364
"5098","7","7","8","87.50","1","0","v England","Wellington","3 Mar 2018","ODI # 3982","Tim Southee",232364
"5099","DNB","-","-","-","-","-","v England","Dunedin","7 Mar 2018","ODI # 3989","Tim Southee",232364
"5100","10","10","10","100.00","1","0","v England","Christchurch","10 Mar 2018","ODI # 3992","Tim Southee",232364
"5101","20","20","21","95.23","0","1","v Pakistan","Abu Dhabi","7 Nov 2018","ODI # 4066","Tim Southee",232364
"5102","13","13","21","61.90","1","0","v Pakistan","Abu Dhabi","9 Nov 2018","ODI # 4068","Tim Southee",232364
"5103","1*","1","2","50.00","0","0","v Sri Lanka","Mount Maunganui","5 Jan 2019","ODI # 4075","Tim Southee",232364
"5104","DNB","-","-","-","-","-","v Sri Lanka","Nelson","8 Jan 2019","ODI # 4076","Tim Southee",232364
"5105","9*","9","12","75.00","0","1","v India","Napier","23 Jan 2019","ODI # 4082","Tim Southee",232364
"5106","DNB","-","-","-","-","-","v Bangladesh","Dunedin","20 Feb 2019","ODI # 4095","Tim Southee",232364
"5107","24","24","33","72.72","3","0","v Zimbabwe","Dunedin","3 Feb 2012","ODI # 3230","Tom Latham ",388802
"5108","48","48","28","171.42","5","2","v Zimbabwe","Whangarei","6 Feb 2012","ODI # 3232","Tom Latham ",388802
"5109","7*","7","3","233.33","0","1","v Zimbabwe","Napier","9 Feb 2012","ODI # 3234","Tom Latham ",388802
"5110","2","2","8","25.00","0","0","v West Indies","Kingston","7 Jul 2012","ODI # 3285","Tom Latham ",388802
"5111","12","12","24","50.00","0","0","v West Indies","Basseterre","11 Jul 2012","ODI # 3288","Tom Latham ",388802
"5112","32","32","62","51.61","1","0","v West Indies","Basseterre","14 Jul 2012","ODI # 3289","Tom Latham ",388802
"5113","11","11","25","44.00","0","0","v West Indies","Basseterre","16 Jul 2012","ODI # 3290","Tom Latham ",388802
"5114","2","2","18","11.11","0","0","v Sri Lanka","Pallekele","4 Nov 2012","ODI # 3305","Tom Latham ",388802
"5115","0","0","1","0.00","0","0","v Bangladesh","Dhaka","31 Oct 2013","ODI # 3426","Tom Latham ",388802
"5116","43","43","73","58.90","0","2","v Bangladesh","Fatullah","3 Nov 2013","ODI # 3429","Tom Latham ",388802
"5117","4*","4","16","25.00","0","0","v Sri Lanka","Hambantota","10 Nov 2013","ODI # 3432","Tom Latham ",388802
"5118","86","86","68","126.47","12","1","v Sri Lanka","Hambantota","12 Nov 2013","ODI # 3434","Tom Latham ",388802
"5119","9","9","19","47.36","2","0","v Sri Lanka","Dambulla","16 Nov 2013","ODI # 3435","Tom Latham ",388802
"5120","29","29","38","76.31","5","0","v South Africa","Mount Maunganui","21 Oct 2014","ODI # 3536","Tom Latham ",388802
"5121","16","16","28","57.14","2","0","v South Africa","Mount Maunganui","24 Oct 2014","ODI # 3537","Tom Latham ",388802
"5122","TDNB","-","-","-","-","-","v South Africa","Hamilton","27 Oct 2014","ODI # 3538","Tom Latham ",388802
"5123","13","13","20","65.00","0","0","v Pakistan","Dubai (DSC)","8 Dec 2014","ODI # 3564","Tom Latham ",388802
"5124","3","3","7","42.85","0","0","v Pakistan","Sharjah","12 Dec 2014","ODI # 3566","Tom Latham ",388802
"5125","34","34","48","70.83","3","0","v Pakistan","Sharjah","14 Dec 2014","ODI # 3568","Tom Latham ",388802
"5126","14*","14","12","116.66","0","0","v Pakistan","Abu Dhabi","17 Dec 2014","ODI # 3570","Tom Latham ",388802
"5127","22*","22","14","157.14","4","0","v Pakistan","Abu Dhabi","19 Dec 2014","ODI # 3571","Tom Latham ",388802
"5128","15","15","30","50.00","2","0","v Sri Lanka","Christchurch","11 Jan 2015","ODI # 3574","Tom Latham ",388802
"5129","5","5","15","33.33","0","0","v Sri Lanka","Hamilton","15 Jan 2015","ODI # 3577","Tom Latham ",388802
"5130","42","42","65","64.61","4","0","v Sri Lanka","Auckland","17 Jan 2015","ODI # 3580","Tom Latham ",388802
"5131","6","6","9","66.66","1","0","v Sri Lanka","Wellington","29 Jan 2015","ODI # 3594","Tom Latham ",388802
"5132","23","23","28","82.14","5","0","v Pakistan","Wellington","31 Jan 2015","ODI # 3596","Tom Latham ",388802
"5133","14","14","19","73.68","3","0","v Zimbabwe","Harare","2 Aug 2015","ODI # 3673","Tom Latham ",388802
"5134","110*","110","116","94.82","7","2","v Zimbabwe","Harare","4 Aug 2015","ODI # 3674","Tom Latham ",388802
"5135","16","16","29","55.17","2","0","v Zimbabwe","Harare","7 Aug 2015","ODI # 3675","Tom Latham ",388802
"5136","60","60","80","75.00","4","1","v South Africa","Centurion","19 Aug 2015","ODI # 3676","Tom Latham ",388802
"5137","64","64","81","79.01","8","0","v South Africa","Potchefstroom","23 Aug 2015","ODI # 3677","Tom Latham ",388802
"5138","54","54","74","72.97","4","1","v South Africa","Durban","26 Aug 2015","ODI # 3678","Tom Latham ",388802
"5139","18","18","15","120.00","2","0","v Sri Lanka","Christchurch","26 Dec 2015","ODI # 3714","Tom Latham ",388802
"5140","17*","17","20","85.00","2","0","v Sri Lanka","Christchurch","28 Dec 2015","ODI # 3715","Tom Latham ",388802
"5141","42","42","47","89.36","5","1","v Sri Lanka","Nelson","31 Dec 2015","ODI # 3717","Tom Latham ",388802
"5142","9","9","8","112.50","1","0","v Sri Lanka","Nelson","2 Jan 2016","ODI # 3718","Tom Latham ",388802
"5143","0","0","3","0.00","0","0","v Sri Lanka","Mount Maunganui","5 Jan 2016","ODI # 3721","Tom Latham ",388802
"5144","11","11","15","73.33","1","0","v Pakistan","Wellington","25 Jan 2016","ODI # 3728","Tom Latham ",388802
"5145","79*","79","98","80.61","7","1","v India","Dharamsala","16 Oct 2016","ODI # 3796","Tom Latham ",388802
"5146","46","46","46","100.00","6","1","v India","Delhi","20 Oct 2016","ODI # 3797","Tom Latham ",388802
"5147","61","61","72","84.72","3","1","v India","Mohali","23 Oct 2016","ODI # 3798","Tom Latham ",388802
"5148","39","39","40","97.50","4","0","v India","Ranchi","26 Oct 2016","ODI # 3799","Tom Latham ",388802
"5149","19","19","17","111.76","3","0","v India","Visakhapatnam","29 Oct 2016","ODI # 3800","Tom Latham ",388802
"5150","2","2","6","33.33","0","0","v Australia","Sydney","4 Dec 2016","ODI # 3811","Tom Latham ",388802
"5151","4","4","12","33.33","0","0","v Australia","Canberra","6 Dec 2016","ODI # 3812","Tom Latham ",388802
"5152","28","28","36","77.77","3","0","v Australia","Melbourne","9 Dec 2016","ODI # 3813","Tom Latham ",388802
"5153","137","137","121","113.22","7","4","v Bangladesh","Christchurch","26 Dec 2016","ODI # 3814","Tom Latham ",388802
"5154","22","22","35","62.85","4","0","v Bangladesh","Nelson","29 Dec 2016","ODI # 3815","Tom Latham ",388802
"5155","4","4","7","57.14","1","0","v Bangladesh","Nelson","31 Dec 2016","ODI # 3816","Tom Latham ",388802
"5156","7","7","9","77.77","1","0","v Australia","Auckland","30 Jan 2017","ODI # 3829","Tom Latham ",388802
"5157","0","0","8","0.00","0","0","v Australia","Hamilton","5 Feb 2017","ODI # 3832","Tom Latham ",388802
"5158","0","0","11","0.00","0","0","v South Africa","Hamilton","19 Feb 2017","ODI # 3836","Tom Latham ",388802
"5159","2","2","6","33.33","0","0","v South Africa","Christchurch","22 Feb 2017","ODI # 3839","Tom Latham ",388802
"5160","0","0","7","0.00","0","0","v South Africa","Wellington","25 Feb 2017","ODI # 3841","Tom Latham ",388802
"5161","15","15","25","60.00","3","0","v Ireland","Dublin (Malahide)","14 May 2017","ODI # 3867","Tom Latham ",388802
"5162","54","54","64","84.37","3","1","v Bangladesh","Dublin","17 May 2017","ODI # 3868","Tom Latham ",388802
"5163","104","104","111","93.69","9","4","v Ireland","Dublin (Malahide)","21 May 2017","ODI # 3870","Tom Latham ",388802
"5164","84","84","92","91.30","11","0","v Bangladesh","Dublin","24 May 2017","ODI # 3871","Tom Latham ",388802
"5165","103*","103","102","100.98","8","2","v India","Mumbai","22 Oct 2017","ODI # 3928","Tom Latham ",388802
"5166","38","38","62","61.29","2","0","v India","Pune","25 Oct 2017","ODI # 3931","Tom Latham ",388802
"5167","65","65","52","125.00","7","0","v India","Kanpur","29 Oct 2017","ODI # 3932","Tom Latham ",388802
"5168","17","17","19","89.47","1","0","v West Indies","Whangarei","20 Dec 2017","ODI # 3943","Tom Latham ",388802
"5169","20","20","34","58.82","1","0","v West Indies","Christchurch","23 Dec 2017","ODI # 3944","Tom Latham ",388802
"5170","37","37","42","88.09","5","0","v West Indies","Christchurch","26 Dec 2017","ODI # 3945","Tom Latham ",388802
"5171","3","3","7","42.85","0","0","v Pakistan","Wellington","6 Jan 2018","ODI # 3946","Tom Latham ",388802
"5172","DNB","-","-","-","-","-","v Pakistan","Nelson","9 Jan 2018","ODI # 3947","Tom Latham ",388802
"5173","35","35","35","100.00","3","0","v Pakistan","Dunedin","13 Jan 2018","ODI # 3949","Tom Latham ",388802
"5174","8","8","16","50.00","1","0","v Pakistan","Hamilton","16 Jan 2018","ODI # 3953","Tom Latham ",388802
"5175","2","2","5","40.00","0","0","v Pakistan","Wellington","19 Jan 2018","ODI # 3957","Tom Latham ",388802
"5176","79","79","84","94.04","6","0","v England","Hamilton","25 Feb 2018","ODI # 3980","Tom Latham ",388802
"5177","22","22","36","61.11","1","0","v England","Mount Maunganui","28 Feb 2018","ODI # 3981","Tom Latham ",388802
"5178","0","0","1","0.00","0","0","v England","Wellington","3 Mar 2018","ODI # 3982","Tom Latham ",388802
"5179","71","71","67","105.97","2","3","v England","Dunedin","7 Mar 2018","ODI # 3989","Tom Latham ",388802
"5180","10","10","19","52.63","0","0","v England","Christchurch","10 Mar 2018","ODI # 3992","Tom Latham ",388802
"5181","68","68","64","106.25","5","0","v Pakistan","Abu Dhabi","7 Nov 2018","ODI # 4066","Tom Latham ",388802
"5182","1","1","7","14.28","0","0","v Pakistan","Abu Dhabi","9 Nov 2018","ODI # 4068","Tom Latham ",388802
"5183","DNB","-","-","-","-","-","v Pakistan","Dubai (DSC)","11 Nov 2018","ODI # 4070","Tom Latham ",388802
"5184","11","11","10","110.00","1","0","v India","Napier","23 Jan 2019","ODI # 4082","Tom Latham ",388802
"5185","34","34","32","106.25","3","1","v India","Mount Maunganui","26 Jan 2019","ODI # 4085","Tom Latham ",388802
"5186","51","51","64","79.68","1","1","v India","Mount Maunganui","28 Jan 2019","ODI # 4088","Tom Latham ",388802
"5187","DNB","-","-","-","-","-","v India","Hamilton","31 Jan 2019","ODI # 4091","Tom Latham ",388802
"5188","37","37","49","75.51","3","0","v India","Wellington","3 Feb 2019","ODI # 4092","Tom Latham ",388802
"5189","DNB","-","-","-","-","-","v Bangladesh","Napier","13 Feb 2019","ODI # 4093","Tom Latham ",388802
"5190","DNB","-","-","-","-","-","v Bangladesh","Christchurch","16 Feb 2019","ODI # 4094","Tom Latham ",388802
"5191","59","59","51","115.68","2","3","v Bangladesh","Dunedin","20 Feb 2019","ODI # 4095","Tom Latham ",388802
"5192","0","0","9","0.00","0","0","v India","Dambulla","10 Aug 2010","ODI # 3030","Kane Williamson ",277906
"5193","0","0","2","0.00","0","0","v Sri Lanka","Dambulla","13 Aug 2010","ODI # 3031","Kane Williamson ",277906
"5194","TDNB","-","-","-","-","-","v Sri Lanka","Dambulla","19 Aug 2010","ODI # 3037","Kane Williamson ",277906
"5195","13","13","27","48.14","1","0","v India","Dambulla","25 Aug 2010","ODI # 3039","Kane Williamson ",277906
"5196","108","108","132","81.81","6","2","v Bangladesh","Dhaka","14 Oct 2010","ODI # 3056","Kane Williamson ",277906
"5197","0","0","6","0.00","0","0","v Bangladesh","Dhaka","17 Oct 2010","ODI # 3058","Kane Williamson ",277906
"5198","25","25","51","49.01","0","0","v India","Guwahati","28 Nov 2010","ODI # 3070","Kane Williamson ",277906
"5199","29","29","46","63.04","4","0","v India","Jaipur","1 Dec 2010","ODI # 3072","Kane Williamson ",277906
"5200","21","21","50","42.00","1","0","v India","Vadodara","4 Dec 2010","ODI # 3074","Kane Williamson ",277906
"5201","42","42","63","66.66","1","0","v Pakistan","Christchurch","29 Jan 2011","ODI # 3090","Kane Williamson ",277906
"5202","15","15","36","41.66","1","0","v Pakistan","Napier","1 Feb 2011","ODI # 3093","Kane Williamson ",277906
"5203","34*","34","27","125.92","4","0","v Canada","Mumbai","13 Mar 2011","ODI # 3129","Kane Williamson ",277906
"5204","5","5","8","62.50","0","0","v Sri Lanka","Mumbai","18 Mar 2011","ODI # 3137","Kane Williamson ",277906
"5205","38*","38","41","92.68","1","1","v South Africa","Dhaka","25 Mar 2011","ODI # 3144","Kane Williamson ",277906
"5206","22","22","16","137.50","3","0","v Sri Lanka","Colombo (RPS)","29 Mar 2011","ODI # 3146","Kane Williamson ",277906
"5207","DNB","-","-","-","-","-","v Zimbabwe","Harare","20 Oct 2011","ODI # 3204","Kane Williamson ",277906
"5208","14*","14","18","77.77","1","0","v Zimbabwe","Harare","22 Oct 2011","ODI # 3206","Kane Williamson ",277906
"5209","100*","100","69","144.92","11","1","v Zimbabwe","Bulawayo","25 Oct 2011","ODI # 3209","Kane Williamson ",277906
"5210","35","35","53","66.03","4","0","v Zimbabwe","Dunedin","3 Feb 2012","ODI # 3230","Kane Williamson ",277906
"5211","4","4","8","50.00","0","0","v Zimbabwe","Whangarei","6 Feb 2012","ODI # 3232","Kane Williamson ",277906
"5212","38","38","40","95.00","3","0","v Zimbabwe","Napier","9 Feb 2012","ODI # 3234","Kane Williamson ",277906
"5213","55","55","69","79.71","4","0","v South Africa","Wellington","25 Feb 2012","ODI # 3249","Kane Williamson ",277906
"5214","13","13","18","72.22","0","0","v South Africa","Napier","29 Feb 2012","ODI # 3252","Kane Williamson ",277906
"5215","22","22","43","51.16","1","0","v South Africa","Auckland","3 Mar 2012","ODI # 3254","Kane Williamson ",277906
"5216","24","24","52","46.15","1","0","v West Indies","Kingston","5 Jul 2012","ODI # 3283","Kane Williamson ",277906
"5217","58","58","65","89.23","4","1","v West Indies","Kingston","7 Jul 2012","ODI # 3285","Kane Williamson ",277906
"5218","9","9","17","52.94","1","0","v West Indies","Basseterre","11 Jul 2012","ODI # 3288","Kane Williamson ",277906
"5219","3","3","12","25.00","0","0","v West Indies","Basseterre","14 Jul 2012","ODI # 3289","Kane Williamson ",277906
"5220","69","69","84","82.14","5","1","v West Indies","Basseterre","16 Jul 2012","ODI # 3290","Kane Williamson ",277906
"5221","DNB","-","-","-","-","-","v Sri Lanka","Pallekele","4 Nov 2012","ODI # 3305","Kane Williamson ",277906
"5222","5","5","6","83.33","0","0","v Sri Lanka","Pallekele","6 Nov 2012","ODI # 3306","Kane Williamson ",277906
"5223","21","21","29","72.41","2","0","v Sri Lanka","Hambantota","10 Nov 2012","ODI # 3307","Kane Williamson ",277906
"5224","TDNB","-","-","-","-","-","v Sri Lanka","Hambantota","12 Nov 2012","ODI # 3308","Kane Williamson ",277906
"5225","5","5","15","33.33","1","0","v South Africa","Paarl","19 Jan 2013","ODI # 3323","Kane Williamson ",277906
"5226","145*","145","136","106.61","17","1","v South Africa","Kimberley","22 Jan 2013","ODI # 3325","Kane Williamson ",277906
"5227","6","6","17","35.29","1","0","v South Africa","Potchefstroom","25 Jan 2013","ODI # 3328","Kane Williamson ",277906
"5228","74","74","99","74.74","6","0","v England","Hamilton","17 Feb 2013","ODI # 3335","Kane Williamson ",277906
"5229","33","33","47","70.21","3","0","v England","Napier","20 Feb 2013","ODI # 3336","Kane Williamson ",277906
"5230","7","7","12","58.33","1","0","v England","Auckland","23 Feb 2013","ODI # 3338","Kane Williamson ",277906
"5231","0","0","2","0.00","0","0","v England","Lord's","31 May 2013","ODI # 3360","Kane Williamson ",277906
"5232","55","55","63","87.30","3","0","v England","Southampton","2 Jun 2013","ODI # 3361","Kane Williamson ",277906
"5233","19","19","28","67.85","1","0","v England","Nottingham","5 Jun 2013","ODI # 3362","Kane Williamson ",277906
"5234","16","16","22","72.72","1","0","v Sri Lanka","Cardiff","9 Jun 2013","ODI # 3366","Kane Williamson ",277906
"5235","18*","18","37","48.64","1","0","v Australia","Birmingham","12 Jun 2013","ODI # 3369","Kane Williamson ",277906
"5236","67","67","54","124.07","8","1","v England","Cardiff","16 Jun 2013","ODI # 3373","Kane Williamson ",277906
"5237","absent","-","-","-","-","-","v Bangladesh","Dhaka","29 Oct 2013","ODI # 3423","Kane Williamson ",277906
"5238","8","8","22","36.36","0","0","v West Indies","Auckland","26 Dec 2013","ODI # 3449","Kane Williamson ",277906
