Entity,Code,Year,Wind energy consumption (Terawatt-hours)
Australia,AUS,2009,4.43775
Australia,AUS,2010,4.985
Australia,AUS,2011,6.432
Australia,AUS,2012,7.725
Australia,AUS,2013,9.259
Australia,AUS,2014,9.777
Australia,AUS,2015,11.802
Australia,AUS,2016,13.190886713286714
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0
Austria,AUT,1994,0
Austria,AUT,1995,0.001
Austria,AUT,1996,0.005
Austria,AUT,1997,0.02
Austria,AUT,1998,0.045
Austria,AUT,1999,0.051
Austria,AUT,2000,0.067
Austria,AUT,2001,0.172
Austria,AUT,2002,0.203
Austria,AUT,2003,0.366
Austria,AUT,2004,0.924
Austria,AUT,2005,1.3312767567447965
Austria,AUT,2006,1.7527929836760736
Austria,AUT,2007,2.0371
Austria,AUT,2008,2.011257408682779
Austria,AUT,2009,1.954040168131744
Austria,AUT,2010,2.0639137360418474
Austria,AUT,2011,1.9362363601421613
Austria,AUT,2012,2.4620290190466725
Austria,AUT,2013,3.153231562469477
Austria,AUT,2014,3.8457680345196685
Austria,AUT,2015,4.840343101748367
Austria,AUT,2016,5.1605659774499
Azerbaijan,AZE,1985,0
Azerbaijan,AZE,1986,0
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,0
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0.0021
Azerbaijan,AZE,2010,0.0005
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.0008
Azerbaijan,AZE,2014,0.0023
Azerbaijan,AZE,2015,0.0046
Azerbaijan,AZE,2016,0.0178
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0
Bangladesh,BGD,2003,0
Bangladesh,BGD,2004,0
Bangladesh,BGD,2005,0.0010101010101009982
Bangladesh,BGD,2006,0.0020202020202019963
Bangladesh,BGD,2007,0.0020202020202019963
Bangladesh,BGD,2008,0.0020202020202019963
Bangladesh,BGD,2009,0.0020202020202019963
Bangladesh,BGD,2010,0.0020202020202019963
Bangladesh,BGD,2011,0.0020202020202019963
Bangladesh,BGD,2012,0.0020257368202573423
Bangladesh,BGD,2013,0.004
Bangladesh,BGD,2014,0.004
Bangladesh,BGD,2015,0.004
Bangladesh,BGD,2016,0.004010958904
Belarus,BLR,1985,0
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0.0010101010101009982
Belarus,BLR,2005,0.001
Belarus,BLR,2006,0.001
Belarus,BLR,2007,0.001
Belarus,BLR,2008,0.001
Belarus,BLR,2009,0.001
Belarus,BLR,2010,0.001
Belarus,BLR,2011,0.004
Belarus,BLR,2012,0.006
Belarus,BLR,2013,0.008
Belarus,BLR,2014,0.009
Belarus,BLR,2015,0.026
Belarus,BLR,2016,0.1564273973
Belgium,BEL,1965,0
Belgium,BEL,1966,0
Belgium,BEL,1967,0
Belgium,BEL,1968,0
Belgium,BEL,1969,0
Belgium,BEL,1970,0
Belgium,BEL,1971,0
Belgium,BEL,1972,0
Belgium,BEL,1973,0
Belgium,BEL,1974,0
Belgium,BEL,1975,0
Belgium,BEL,1976,0
Belgium,BEL,1977,0
Belgium,BEL,1978,0
Belgium,BEL,1979,0
Belgium,BEL,1980,0
Belgium,BEL,1981,0
Belgium,BEL,1982,0
Belgium,BEL,1983,0
Belgium,BEL,1984,0
Belgium,BEL,1985,0
Belgium,BEL,1986,0
Belgium,BEL,1987,0.006
Belgium,BEL,1988,0.008
Belgium,BEL,1989,0.007
Belgium,BEL,1990,0.007
Belgium,BEL,1991,0.008
Belgium,BEL,1992,0.009
Belgium,BEL,1993,0.008
Belgium,BEL,1994,0.009
Belgium,BEL,1995,0.009
Belgium,BEL,1996,0.008
Belgium,BEL,1997,0.008
Belgium,BEL,1998,0.011
Belgium,BEL,1999,0.013
Belgium,BEL,2000,0.016
Belgium,BEL,2001,0.037
Belgium,BEL,2002,0.057
Belgium,BEL,2003,0.088
Belgium,BEL,2004,0.142
Belgium,BEL,2005,0.227
Belgium,BEL,2006,0.366
Belgium,BEL,2007,0.491
Belgium,BEL,2008,0.637
Belgium,BEL,2009,0.996
Belgium,BEL,2010,1.292
Belgium,BEL,2011,2.312
Belgium,BEL,2012,2.751
Belgium,BEL,2013,3.665
Belgium,BEL,2014,4.615
Belgium,BEL,2015,5.574
Belgium,BEL,2016,5.677698
Brazil,BRA,1965,0
Brazil,BRA,1966,0
Brazil,BRA,1967,0
Brazil,BRA,1968,0
Brazil,BRA,1969,0
Brazil,BRA,1970,0
Brazil,BRA,1971,0
Brazil,BRA,1972,0
Brazil,BRA,1973,0
Brazil,BRA,1974,0
Brazil,BRA,1975,0
Brazil,BRA,1976,0
Brazil,BRA,1977,0
Brazil,BRA,1978,0
Brazil,BRA,1979,0
Brazil,BRA,1980,0
Brazil,BRA,1981,0
Brazil,BRA,1982,0
Brazil,BRA,1983,0
Brazil,BRA,1984,0
Brazil,BRA,1985,0
Brazil,BRA,1986,0
Brazil,BRA,1987,0
Brazil,BRA,1988,0
Brazil,BRA,1989,0
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0.002
Brazil,BRA,1997,0.004
Brazil,BRA,1998,0.005
Brazil,BRA,1999,0.002
Brazil,BRA,2000,0.001
Brazil,BRA,2001,0.0349
Brazil,BRA,2002,0.061
Brazil,BRA,2003,0.061
Brazil,BRA,2004,0.061
Brazil,BRA,2005,0.0929
Brazil,BRA,2006,0.237
Brazil,BRA,2007,0.6627818363826152
Brazil,BRA,2008,1.183
Brazil,BRA,2009,1.238
Brazil,BRA,2010,2.176558
Brazil,BRA,2011,2.7047689999999998
Brazil,BRA,2012,5.05
Brazil,BRA,2013,6.575862736655708
Brazil,BRA,2014,12.210251668688802
Brazil,BRA,2015,21.62570216046869
Brazil,BRA,2016,32.9149552467302
Bulgaria,BGR,1965,0
Bulgaria,BGR,1966,0
Bulgaria,BGR,1967,0
Bulgaria,BGR,1968,0
Bulgaria,BGR,1969,0
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,0
Bulgaria,BGR,1975,0
Bulgaria,BGR,1976,0
Bulgaria,BGR,1977,0
Bulgaria,BGR,1978,0
Bulgaria,BGR,1979,0
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,0
Bulgaria,BGR,1982,0
Bulgaria,BGR,1983,0
Bulgaria,BGR,1984,0
Bulgaria,BGR,1985,0
Bulgaria,BGR,1986,0
Bulgaria,BGR,1987,0
Bulgaria,BGR,1988,0
Bulgaria,BGR,1989,0
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0.001
Bulgaria,BGR,2005,0.005
Bulgaria,BGR,2006,0.02
Bulgaria,BGR,2007,0.047
Bulgaria,BGR,2008,0.122
Bulgaria,BGR,2009,0.237
Bulgaria,BGR,2010,0.681
Bulgaria,BGR,2011,0.861
Bulgaria,BGR,2012,1.221
Bulgaria,BGR,2013,1.374
Bulgaria,BGR,2014,1.331
Bulgaria,BGR,2015,1.452
Bulgaria,BGR,2016,1.3781880000000002
CIS,,1965,0
CIS,,1966,0
CIS,,1967,0
CIS,,1968,0
CIS,,1969,0
CIS,,1970,0
CIS,,1971,0
CIS,,1972,0
CIS,,1973,0
CIS,,1974,0
CIS,,1975,0
CIS,,1976,0
CIS,,1977,0
CIS,,1978,0
CIS,,1979,0
CIS,,1980,0
CIS,,1981,0
CIS,,1982,0
CIS,,1983,0
CIS,,1984,0
CIS,,1985,0
CIS,,1986,0
CIS,,1987,0
CIS,,1988,0
CIS,,1989,0
CIS,,1990,0
CIS,,1991,0
CIS,,1992,0
CIS,,1993,0
CIS,,1994,0
CIS,,1995,0
CIS,,1996,0
CIS,,1997,0
CIS,,1998,0.005050505050504991
CIS,,1999,0.0030303030303029943
CIS,,2000,0.00796060606060599
CIS,,2001,0.01825151515151497
CIS,,2002,0.02741212121212096
CIS,,2003,0.03284242424242395
CIS,,2004,0.03225252525252495
CIS,,2005,0.04426464646464604
CIS,,2006,0.04344646464646426
CIS,,2007,0.0547424242424237
CIS,,2008,0.0523424242424237
CIS,,2009,0.053624242424241915
CIS,,2010,0.061301151515150906
CIS,,2011,0.101392
CIS,,2012,0.306451
CIS,,2013,0.660573
CIS,,2014,1.24948
CIS,,2015,1.4000396
CIS,,2016,1.5448943767520547
Canada,CAN,1965,0
Canada,CAN,1966,0
Canada,CAN,1967,0
Canada,CAN,1968,0
Canada,CAN,1969,0
Canada,CAN,1970,0
Canada,CAN,1971,0
Canada,CAN,1972,0
Canada,CAN,1973,0
Canada,CAN,1974,0
Canada,CAN,1975,0
Canada,CAN,1976,0
Canada,CAN,1977,0
Canada,CAN,1978,0
Canada,CAN,1979,0
Canada,CAN,1980,0
Canada,CAN,1981,0
Canada,CAN,1982,0
Canada,CAN,1983,0
Canada,CAN,1984,0
Canada,CAN,1985,0.001
Canada,CAN,1986,0.001
Canada,CAN,1987,0.001
Canada,CAN,1988,0.001
Canada,CAN,1989,0.001
Canada,CAN,1990,0.0019191919191918964
Canada,CAN,1991,0.0019191919191918964
Canada,CAN,1992,0.059
Canada,CAN,1993,0.059
Canada,CAN,1994,0.059
Canada,CAN,1995,0.059
Canada,CAN,1996,0.062
Canada,CAN,1997,0.062
Canada,CAN,1998,0.062
Canada,CAN,1999,0.162
Canada,CAN,2000,0.264
Canada,CAN,2001,0.329
Canada,CAN,2002,0.405
Canada,CAN,2003,0.69
Canada,CAN,2004,0.945
Canada,CAN,2005,1.552
Canada,CAN,2006,2.448
Canada,CAN,2007,2.9772060000000002
Canada,CAN,2008,3.750629
Canada,CAN,2009,6.575234999999999
Canada,CAN,2010,8.63695
Canada,CAN,2011,10.942257030823786
Canada,CAN,2012,13.557401870688818
Canada,CAN,2013,16.543581391965418
Canada,CAN,2014,20.611117587288604
Canada,CAN,2015,24.611537963720682
Canada,CAN,2016,27.24853514104059
Chile,CHL,1965,0
Chile,CHL,1966,0
Chile,CHL,1967,0
Chile,CHL,1968,0
Chile,CHL,1969,0
Chile,CHL,1970,0
Chile,CHL,1971,0
Chile,CHL,1972,0
Chile,CHL,1973,0
Chile,CHL,1974,0
Chile,CHL,1975,0
Chile,CHL,1976,0
Chile,CHL,1977,0
Chile,CHL,1978,0
Chile,CHL,1979,0
Chile,CHL,1980,0
Chile,CHL,1981,0
Chile,CHL,1982,0
Chile,CHL,1983,0
Chile,CHL,1984,0
Chile,CHL,1985,0
Chile,CHL,1986,0
Chile,CHL,1987,0
Chile,CHL,1988,0
Chile,CHL,1989,0
Chile,CHL,1990,0
Chile,CHL,1991,0
Chile,CHL,1992,0
Chile,CHL,1993,0
Chile,CHL,1994,0
Chile,CHL,1995,0
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0.007070707070706987
Chile,CHL,2002,0.007070707070706987
Chile,CHL,2003,0.007070707070706987
Chile,CHL,2004,0.005
Chile,CHL,2005,0.007
Chile,CHL,2006,0.007
Chile,CHL,2007,0.0112
Chile,CHL,2008,0.037
Chile,CHL,2009,0.078206867
Chile,CHL,2010,0.332135807
Chile,CHL,2011,0.33163300500000015
Chile,CHL,2012,0.39012681200000004
Chile,CHL,2013,0.554751
Chile,CHL,2014,1.4421199999999998
Chile,CHL,2015,2.1143340000000004
Chile,CHL,2016,2.3023181868684857
China,CHN,1965,0
China,CHN,1966,0
China,CHN,1967,0
China,CHN,1968,0
China,CHN,1969,0
China,CHN,1970,0
China,CHN,1971,0
China,CHN,1972,0
China,CHN,1973,0
China,CHN,1974,0
China,CHN,1975,0
China,CHN,1976,0
China,CHN,1977,0
China,CHN,1978,0
China,CHN,1979,0
China,CHN,1980,0
China,CHN,1981,0
China,CHN,1982,0
China,CHN,1983,0
China,CHN,1984,0
China,CHN,1985,0
China,CHN,1986,0
China,CHN,1987,0
China,CHN,1988,0
China,CHN,1989,0
China,CHN,1990,0.0020202020202019963
China,CHN,1991,0.009090909090908983
China,CHN,1992,0.13131313131312977
China,CHN,1993,0.2121212121212096
China,CHN,1994,0.3838383838383793
China,CHN,1995,0.6161616161616098
China,CHN,1996,0.09393939393939263
China,CHN,1997,0.1979797979797957
China,CHN,1998,0.35555555555555146
China,CHN,1999,0.47373737373736624
China,CHN,2000,0.5898989898989824
China,CHN,2001,0.7191919191919098
China,CHN,2002,0.8373737373737264
China,CHN,2003,0.9969696969696866
China,CHN,2004,1.277777777777764
China,CHN,2005,1.946060606060582
China,CHN,2006,3.711818181818139
China,CHN,2007,5.479292929292878
China,CHN,2008,13.1
China,CHN,2009,27.6
China,CHN,2010,44.622
China,CHN,2011,70.33099999999999
China,CHN,2012,95.978
China,CHN,2013,141.197
China,CHN,2014,156.078
China,CHN,2015,185.76600000000002
China,CHN,2016,241
Colombia,COL,1965,0
Colombia,COL,1966,0
Colombia,COL,1967,0
Colombia,COL,1968,0
Colombia,COL,1969,0
Colombia,COL,1970,0
Colombia,COL,1971,0
Colombia,COL,1972,0
Colombia,COL,1973,0
Colombia,COL,1974,0
Colombia,COL,1975,0
Colombia,COL,1976,0
Colombia,COL,1977,0
Colombia,COL,1978,0
Colombia,COL,1979,0
Colombia,COL,1980,0
Colombia,COL,1981,0
Colombia,COL,1982,0
Colombia,COL,1983,0
Colombia,COL,1984,0
Colombia,COL,1985,0
Colombia,COL,1986,0
Colombia,COL,1987,0
Colombia,COL,1988,0
Colombia,COL,1989,0
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0
Colombia,COL,2001,0
Colombia,COL,2002,0
Colombia,COL,2003,0
Colombia,COL,2004,0.05199
Colombia,COL,2005,0.049479999999999996
Colombia,COL,2006,0.06298139278999973
Colombia,COL,2007,0.04989097491999974
Colombia,COL,2008,0.05391816670999971
Colombia,COL,2009,0.05770781402999969
Colombia,COL,2010,0.03856991990999971
Colombia,COL,2011,0.0412719445799997
Colombia,COL,2012,0.054854711329999715
Colombia,COL,2013,0.0576248025999997
Colombia,COL,2014,0.07023029787999988
Colombia,COL,2015,0.06837744830999999
Colombia,COL,2016,0.053509999999999995
Czech Republic,CZE,1965,0
Czech Republic,CZE,1966,0
Czech Republic,CZE,1967,0
Czech Republic,CZE,1968,0
Czech Republic,CZE,1969,0
Czech Republic,CZE,1970,0
Czech Republic,CZE,1971,0
Czech Republic,CZE,1972,0
Czech Republic,CZE,1973,0
Czech Republic,CZE,1974,0
Czech Republic,CZE,1975,0
Czech Republic,CZE,1976,0
Czech Republic,CZE,1977,0
Czech Republic,CZE,1978,0
Czech Republic,CZE,1979,0
Czech Republic,CZE,1980,0
Czech Republic,CZE,1981,0
Czech Republic,CZE,1982,0
Czech Republic,CZE,1983,0
Czech Republic,CZE,1984,0
Czech Republic,CZE,1985,0
Czech Republic,CZE,1986,0
Czech Republic,CZE,1987,0
Czech Republic,CZE,1988,0
Czech Republic,CZE,1989,0
Czech Republic,CZE,1990,0
Czech Republic,CZE,1991,0
Czech Republic,CZE,1992,0
Czech Republic,CZE,1993,0
Czech Republic,CZE,1994,0
Czech Republic,CZE,1995,0
Czech Republic,CZE,1996,0
Czech Republic,CZE,1997,0
Czech Republic,CZE,1998,0
Czech Republic,CZE,1999,0
Czech Republic,CZE,2000,0
Czech Republic,CZE,2001,0.0002
Czech Republic,CZE,2002,0.0016
Czech Republic,CZE,2003,0.0039
Czech Republic,CZE,2004,0.0099
Czech Republic,CZE,2005,0.02128
Czech Republic,CZE,2006,0.049375
Czech Republic,CZE,2007,0.125098
Czech Republic,CZE,2008,0.244661
Czech Republic,CZE,2009,0.288067
Czech Republic,CZE,2010,0.335493
Czech Republic,CZE,2011,0.3968
Czech Republic,CZE,2012,0.4173
Czech Republic,CZE,2013,0.4783
Czech Republic,CZE,2014,0.4765
Czech Republic,CZE,2015,0.5726
Czech Republic,CZE,2016,0.49689999999999995
Denmark,DNK,1965,0
Denmark,DNK,1966,0
Denmark,DNK,1967,0
Denmark,DNK,1968,0
Denmark,DNK,1969,0
Denmark,DNK,1970,0
Denmark,DNK,1971,0
Denmark,DNK,1972,0
Denmark,DNK,1973,0
Denmark,DNK,1974,0
Denmark,DNK,1975,0
Denmark,DNK,1976,0
Denmark,DNK,1977,0
Denmark,DNK,1978,0.003
Denmark,DNK,1979,0.006
Denmark,DNK,1980,0.010499999999999999
Denmark,DNK,1981,0.010499999999999999
Denmark,DNK,1982,0.018499999999999996
Denmark,DNK,1983,0.027100000000000003
Denmark,DNK,1984,0.03319999999999999
Denmark,DNK,1985,0.0514
Denmark,DNK,1986,0.12560000000000002
Denmark,DNK,1987,0.17379999999999998
